,대여날짜,대여년,대여월,대여일,대여시,대여량
4082,'2017-09-19,2017,09,19,20,898
4083,'2017-09-19,2017,09,19,21,315
4084,'2017-09-19,2017,09,19,22,822
4085,'2017-09-19,2017,09,19,23,784
4086,'2017-09-20,2017,09,20,00,625
4087,'2017-09-20,2017,09,20,01,492
4088,'2017-09-20,2017,09,20,02,339
4089,'2017-09-20,2017,09,20,03,257
4090,'2017-09-20,2017,09,20,04,124
4091,'2017-09-20,2017,09,20,05,193
4092,'2017-09-20,2017,09,20,06,495
4093,'2017-09-20,2017,09,20,07,1381
4094,'2017-09-20,2017,09,20,08,2364
4095,'2017-09-20,2017,09,20,09,1172
4096,'2017-09-20,2017,09,20,10,862
4097,'2017-09-20,2017,09,20,11,1040
4098,'2017-09-20,2017,09,20,12,1154
4099,'2017-09-20,2017,09,20,13,1089
4100,'2017-09-20,2017,09,20,14,1162
4101,'2017-09-20,2017,09,20,15,1357
4102,'2017-09-20,2017,09,20,16,1714
4103,'2017-09-20,2017,09,20,17,2304
4104,'2017-09-20,2017,09,20,18,4230
4105,'2017-09-20,2017,09,20,19,2871
4106,'2017-09-20,2017,09,20,20,2533
4107,'2017-09-20,2017,09,20,21,2411
4108,'2017-09-20,2017,09,20,22,2104
4109,'2017-09-20,2017,09,20,23,1360
4110,'2017-09-21,2017,09,21,00,849
4111,'2017-09-21,2017,09,21,01,606
4112,'2017-09-21,2017,09,21,02,439
4113,'2017-09-21,2017,09,21,03,270
4114,'2017-09-21,2017,09,21,04,171
4115,'2017-09-21,2017,09,21,05,205
4116,'2017-09-21,2017,09,21,06,501
4117,'2017-09-21,2017,09,21,07,1376
4118,'2017-09-21,2017,09,21,08,2266
4119,'2017-09-21,2017,09,21,09,1186
4120,'2017-09-21,2017,09,21,10,889
4121,'2017-09-21,2017,09,21,11,1007
4122,'2017-09-21,2017,09,21,12,1179
4123,'2017-09-21,2017,09,21,13,1041
4124,'2017-09-21,2017,09,21,14,1011
4125,'2017-09-21,2017,09,21,15,1260
4126,'2017-09-21,2017,09,21,16,1592
4127,'2017-09-21,2017,09,21,17,2217
4128,'2017-09-21,2017,09,21,18,3787
4129,'2017-09-21,2017,09,21,19,2758
4130,'2017-09-21,2017,09,21,20,2384
4131,'2017-09-21,2017,09,21,21,2344
4132,'2017-09-21,2017,09,21,22,2058
4133,'2017-09-21,2017,09,21,23,1350
4134,'2017-09-22,2017,09,22,00,922
4135,'2017-09-22,2017,09,22,01,668
4136,'2017-09-22,2017,09,22,02,421
4137,'2017-09-22,2017,09,22,03,298
4138,'2017-09-22,2017,09,22,04,180
4139,'2017-09-22,2017,09,22,05,216
4140,'2017-09-22,2017,09,22,06,485
4141,'2017-09-22,2017,09,22,07,1321
4142,'2017-09-22,2017,09,22,08,2258
4143,'2017-09-22,2017,09,22,09,1127
4144,'2017-09-22,2017,09,22,10,854
4145,'2017-09-22,2017,09,22,11,1064
4146,'2017-09-22,2017,09,22,12,1275
4147,'2017-09-22,2017,09,22,13,1178
4148,'2017-09-22,2017,09,22,14,1211
4149,'2017-09-22,2017,09,22,15,1347
4150,'2017-09-22,2017,09,22,16,1699
4151,'2017-09-22,2017,09,22,17,2348
4152,'2017-09-22,2017,09,22,18,3782
4153,'2017-09-22,2017,09,22,19,2712
4154,'2017-09-22,2017,09,22,20,2390
4155,'2017-09-22,2017,09,22,21,2343
4156,'2017-09-22,2017,09,22,22,2128
4157,'2017-09-22,2017,09,22,23,1489
4158,'2017-09-23,2017,09,23,00,1165
4159,'2017-09-23,2017,09,23,01,893
4160,'2017-09-23,2017,09,23,02,636
4161,'2017-09-23,2017,09,23,03,442
4162,'2017-09-23,2017,09,23,04,260
4163,'2017-09-23,2017,09,23,05,185
4164,'2017-09-23,2017,09,23,06,248
4165,'2017-09-23,2017,09,23,07,413
4166,'2017-09-23,2017,09,23,08,786
4167,'2017-09-23,2017,09,23,09,817
4168,'2017-09-23,2017,09,23,10,923
4169,'2017-09-23,2017,09,23,11,1124
4170,'2017-09-23,2017,09,23,12,1341
4171,'2017-09-23,2017,09,23,13,1546
4172,'2017-09-23,2017,09,23,14,1819
4173,'2017-09-23,2017,09,23,15,2100
4174,'2017-09-23,2017,09,23,16,2481
4175,'2017-09-23,2017,09,23,17,2785
4176,'2017-09-23,2017,09,23,18,2739
4177,'2017-09-23,2017,09,23,19,2457
4178,'2017-09-23,2017,09,23,20,2308
4179,'2017-09-23,2017,09,23,21,2240
4180,'2017-09-23,2017,09,23,22,2046
4181,'2017-09-23,2017,09,23,23,1437
4182,'2017-09-24,2017,09,24,00,1261
4183,'2017-09-24,2017,09,24,01,830
4184,'2017-09-24,2017,09,24,02,550
4185,'2017-09-24,2017,09,24,03,376
4186,'2017-09-24,2017,09,24,04,239
4187,'2017-09-24,2017,09,24,05,164
4188,'2017-09-24,2017,09,24,06,176
4189,'2017-09-24,2017,09,24,07,319
4190,'2017-09-24,2017,09,24,08,508
4191,'2017-09-24,2017,09,24,09,691
4192,'2017-09-24,2017,09,24,10,765
4193,'2017-09-24,2017,09,24,11,1016
4194,'2017-09-24,2017,09,24,12,1321
4195,'2017-09-24,2017,09,24,13,1513
4196,'2017-09-24,2017,09,24,14,1848
4197,'2017-09-24,2017,09,24,15,2194
4198,'2017-09-24,2017,09,24,16,2358
4199,'2017-09-24,2017,09,24,17,2625
4200,'2017-09-24,2017,09,24,18,2507
4201,'2017-09-24,2017,09,24,19,2289
4202,'2017-09-24,2017,09,24,20,1995
4203,'2017-09-24,2017,09,24,21,1835
4204,'2017-09-24,2017,09,24,22,1520
4205,'2017-09-24,2017,09,24,23,1126
4206,'2017-09-25,2017,09,25,00,811
4207,'2017-09-25,2017,09,25,01,457
4208,'2017-09-25,2017,09,25,02,327
4209,'2017-09-25,2017,09,25,03,189
4210,'2017-09-25,2017,09,25,04,142
4211,'2017-09-25,2017,09,25,05,180
4212,'2017-09-25,2017,09,25,06,531
4213,'2017-09-25,2017,09,25,07,1344
4214,'2017-09-25,2017,09,25,08,2233
4215,'2017-09-25,2017,09,25,09,1072
4216,'2017-09-25,2017,09,25,10,764
4217,'2017-09-25,2017,09,25,11,948
4218,'2017-09-25,2017,09,25,12,1060
4219,'2017-09-25,2017,09,25,13,938
4220,'2017-09-25,2017,09,25,14,1038
4221,'2017-09-25,2017,09,25,15,1242
4222,'2017-09-25,2017,09,25,16,1532
4223,'2017-09-25,2017,09,25,17,2081
4224,'2017-09-25,2017,09,25,18,3932
4225,'2017-09-25,2017,09,25,19,2926
4226,'2017-09-25,2017,09,25,20,2577
4227,'2017-09-25,2017,09,25,21,2490
4228,'2017-09-25,2017,09,25,22,2104
4229,'2017-09-25,2017,09,25,23,1344
4230,'2017-09-26,2017,09,26,00,920
4231,'2017-09-26,2017,09,26,01,623
4232,'2017-09-26,2017,09,26,02,396
4233,'2017-09-26,2017,09,26,03,271
4234,'2017-09-26,2017,09,26,04,175
4235,'2017-09-26,2017,09,26,05,221
4236,'2017-09-26,2017,09,26,06,541
4237,'2017-09-26,2017,09,26,07,1390
4238,'2017-09-26,2017,09,26,08,2323
4239,'2017-09-26,2017,09,26,09,1164
4240,'2017-09-26,2017,09,26,10,845
4241,'2017-09-26,2017,09,26,11,926
4242,'2017-09-26,2017,09,26,12,1093
4243,'2017-09-26,2017,09,26,13,971
4244,'2017-09-26,2017,09,26,14,980
4245,'2017-09-26,2017,09,26,15,1215
4246,'2017-09-26,2017,09,26,16,1505
4247,'2017-09-26,2017,09,26,17,2052
4248,'2017-09-26,2017,09,26,18,3592
4249,'2017-09-26,2017,09,26,19,2591
4250,'2017-09-26,2017,09,26,20,2096
4251,'2017-09-26,2017,09,26,21,1529
4252,'2017-09-26,2017,09,26,22,1473
4253,'2017-09-26,2017,09,26,23,867
4254,'2017-09-27,2017,09,27,00,551
4255,'2017-09-27,2017,09,27,01,336
4256,'2017-09-27,2017,09,27,02,271
4257,'2017-09-27,2017,09,27,03,206
4258,'2017-09-27,2017,09,27,04,115
4259,'2017-09-27,2017,09,27,05,158
4260,'2017-09-27,2017,09,27,06,385
4261,'2017-09-27,2017,09,27,07,1263
4262,'2017-09-27,2017,09,27,08,1189
4263,'2017-09-27,2017,09,27,09,731
4264,'2017-09-27,2017,09,27,10,476
4265,'2017-09-27,2017,09,27,11,763
4266,'2017-09-27,2017,09,27,12,991
4267,'2017-09-27,2017,09,27,13,1000
4268,'2017-09-27,2017,09,27,14,1016
4269,'2017-09-27,2017,09,27,15,1194
4270,'2017-09-27,2017,09,27,16,1382
4271,'2017-09-27,2017,09,27,17,1970
4272,'2017-09-27,2017,09,27,18,3508
4273,'2017-09-27,2017,09,27,19,2421
4274,'2017-09-27,2017,09,27,20,2232
4275,'2017-09-27,2017,09,27,21,2288
4276,'2017-09-27,2017,09,27,22,2002
4277,'2017-09-27,2017,09,27,23,1401
4278,'2017-09-28,2017,09,28,00,927
4279,'2017-09-28,2017,09,28,01,646
4280,'2017-09-28,2017,09,28,02,456
4281,'2017-09-28,2017,09,28,03,312
4282,'2017-09-28,2017,09,28,04,195
4283,'2017-09-28,2017,09,28,05,230
4284,'2017-09-28,2017,09,28,06,470
4285,'2017-09-28,2017,09,28,07,1375
4286,'2017-09-28,2017,09,28,08,2296
4287,'2017-09-28,2017,09,28,09,1190
4288,'2017-09-28,2017,09,28,10,903
4289,'2017-09-28,2017,09,28,11,1056
4290,'2017-09-28,2017,09,28,12,1205
4291,'2017-09-28,2017,09,28,13,1103
4292,'2017-09-28,2017,09,28,14,1149
4293,'2017-09-28,2017,09,28,15,1306
4294,'2017-09-28,2017,09,28,16,1584
4295,'2017-09-28,2017,09,28,17,2166
4296,'2017-09-28,2017,09,28,18,3482
4297,'2017-09-28,2017,09,28,19,2478
4298,'2017-09-28,2017,09,28,20,1828
4299,'2017-09-28,2017,09,28,21,1853
4300,'2017-09-28,2017,09,28,22,1650
4301,'2017-09-28,2017,09,28,23,1212
4302,'2017-09-29,2017,09,29,00,829
4303,'2017-09-29,2017,09,29,01,636
4304,'2017-09-29,2017,09,29,02,470
4305,'2017-09-29,2017,09,29,03,278
4306,'2017-09-29,2017,09,29,04,158
4307,'2017-09-29,2017,09,29,05,188
4308,'2017-09-29,2017,09,29,06,441
4309,'2017-09-29,2017,09,29,07,1309
4310,'2017-09-29,2017,09,29,08,2188
4311,'2017-09-29,2017,09,29,09,1102
4312,'2017-09-29,2017,09,29,10,837
4313,'2017-09-29,2017,09,29,11,1031
4314,'2017-09-29,2017,09,29,12,1246
4315,'2017-09-29,2017,09,29,13,1296
4316,'2017-09-29,2017,09,29,14,1446
4317,'2017-09-29,2017,09,29,15,1725
4318,'2017-09-29,2017,09,29,16,2071
4319,'2017-09-29,2017,09,29,17,2553
4320,'2017-09-29,2017,09,29,18,3255
4321,'2017-09-29,2017,09,29,19,2377
4322,'2017-09-29,2017,09,29,20,1977
4323,'2017-09-29,2017,09,29,21,1904
4324,'2017-09-29,2017,09,29,22,1894
4325,'2017-09-29,2017,09,29,23,1320
4326,'2017-09-30,2017,09,30,00,1076
4327,'2017-09-30,2017,09,30,01,893
4328,'2017-09-30,2017,09,30,02,600
4329,'2017-09-30,2017,09,30,03,432
4330,'2017-09-30,2017,09,30,04,259
4331,'2017-09-30,2017,09,30,05,196
4332,'2017-09-30,2017,09,30,06,248
4333,'2017-09-30,2017,09,30,07,398
4334,'2017-09-30,2017,09,30,08,628
4335,'2017-09-30,2017,09,30,09,817
4336,'2017-09-30,2017,09,30,10,923
4337,'2017-09-30,2017,09,30,11,1135
4338,'2017-09-30,2017,09,30,12,1345
4339,'2017-09-30,2017,09,30,13,1444
4340,'2017-09-30,2017,09,30,14,1805
4341,'2017-09-30,2017,09,30,15,2138
4342,'2017-09-30,2017,09,30,16,2405
4343,'2017-09-30,2017,09,30,17,2759
4344,'2017-09-30,2017,09,30,18,2771
4345,'2017-09-30,2017,09,30,19,2306
4346,'2017-09-30,2017,09,30,20,2356
4347,'2017-09-30,2017,09,30,21,2537
4348,'2017-09-30,2017,09,30,22,1940
4349,'2017-09-30,2017,09,30,23,1448
4350,'2017-11-01,2017,11,01,00,669
4351,'2017-11-01,2017,11,01,01,546
4352,'2017-11-01,2017,11,01,02,365
4353,'2017-11-01,2017,11,01,03,203
4354,'2017-11-01,2017,11,01,04,167
4355,'2017-11-01,2017,11,01,05,178
4356,'2017-11-01,2017,11,01,06,410
4357,'2017-11-01,2017,11,01,07,1213
4358,'2017-11-01,2017,11,01,08,2168
4359,'2017-11-01,2017,11,01,09,1088
4360,'2017-11-01,2017,11,01,10,600
4361,'2017-11-01,2017,11,01,11,537
4362,'2017-11-01,2017,11,01,12,1089
4363,'2017-11-01,2017,11,01,13,1013
4364,'2017-11-01,2017,11,01,14,1065
4365,'2017-11-01,2017,11,01,15,1209
4366,'2017-11-01,2017,11,01,16,1416
4367,'2017-11-01,2017,11,01,17,1801
4368,'2017-11-01,2017,11,01,18,3077
4369,'2017-11-01,2017,11,01,19,2132
4370,'2017-11-01,2017,11,01,20,1783
4371,'2017-11-01,2017,11,01,21,1703
4372,'2017-11-01,2017,11,01,22,1519
4373,'2017-11-01,2017,11,01,23,967
4374,'2017-11-02,2017,11,02,00,773
4375,'2017-11-02,2017,11,02,01,551
4376,'2017-11-02,2017,11,02,02,408
4377,'2017-11-02,2017,11,02,03,242
4378,'2017-11-02,2017,11,02,04,155
4379,'2017-11-02,2017,11,02,05,200
4380,'2017-11-02,2017,11,02,06,401
4381,'2017-11-02,2017,11,02,07,1210
4382,'2017-11-02,2017,11,02,08,2160
4383,'2017-11-02,2017,11,02,09,1064
4384,'2017-11-02,2017,11,02,10,682
4385,'2017-11-02,2017,11,02,11,839
4386,'2017-11-02,2017,11,02,12,1027
4387,'2017-11-02,2017,11,02,13,971
4388,'2017-11-02,2017,11,02,14,639
4389,'2017-11-02,2017,11,02,15,704
4390,'2017-11-02,2017,11,02,16,1089
4391,'2017-11-02,2017,11,02,17,1508
4392,'2017-11-02,2017,11,02,18,2712
4393,'2017-11-02,2017,11,02,19,1829
4394,'2017-11-02,2017,11,02,20,1619
4395,'2017-11-02,2017,11,02,21,1626
4396,'2017-11-02,2017,11,02,22,1503
4397,'2017-11-02,2017,11,02,23,1091
4398,'2017-11-03,2017,11,03,00,783
4399,'2017-11-03,2017,11,03,01,616
4400,'2017-11-03,2017,11,03,02,439
4401,'2017-11-03,2017,11,03,03,256
4402,'2017-11-03,2017,11,03,04,166
4403,'2017-11-03,2017,11,03,05,166
4404,'2017-11-03,2017,11,03,06,325
4405,'2017-11-03,2017,11,03,07,322
4406,'2017-11-03,2017,11,03,08,834
4407,'2017-11-03,2017,11,03,09,225
4408,'2017-11-03,2017,11,03,10,390
4409,'2017-11-03,2017,11,03,11,709
4410,'2017-11-03,2017,11,03,12,907
4411,'2017-11-03,2017,11,03,13,1055
4412,'2017-11-03,2017,11,03,14,1144
4413,'2017-11-03,2017,11,03,15,1285
4414,'2017-11-03,2017,11,03,16,1300
4415,'2017-11-03,2017,11,03,17,1565
4416,'2017-11-03,2017,11,03,18,2135
4417,'2017-11-03,2017,11,03,19,1329
4418,'2017-11-03,2017,11,03,20,910
4419,'2017-11-03,2017,11,03,21,927
4420,'2017-11-03,2017,11,03,22,859
4421,'2017-11-03,2017,11,03,23,636
4422,'2017-11-04,2017,11,04,00,637
4423,'2017-11-04,2017,11,04,01,510
4424,'2017-11-04,2017,11,04,02,419
4425,'2017-11-04,2017,11,04,03,268
4426,'2017-11-04,2017,11,04,04,147
4427,'2017-11-04,2017,11,04,05,130
4428,'2017-11-04,2017,11,04,06,161
4429,'2017-11-04,2017,11,04,07,276
4430,'2017-11-04,2017,11,04,08,569
4431,'2017-11-04,2017,11,04,09,669
4432,'2017-11-04,2017,11,04,10,734
4433,'2017-11-04,2017,11,04,11,829
4434,'2017-11-04,2017,11,04,12,1049
4435,'2017-11-04,2017,11,04,13,1247
4436,'2017-11-04,2017,11,04,14,1336
4437,'2017-11-04,2017,11,04,15,1465
4438,'2017-11-04,2017,11,04,16,1477
4439,'2017-11-04,2017,11,04,17,1343
4440,'2017-11-04,2017,11,04,18,1029
4441,'2017-11-04,2017,11,04,19,804
4442,'2017-11-04,2017,11,04,20,784
4443,'2017-11-04,2017,11,04,21,793
4444,'2017-11-04,2017,11,04,22,783
4445,'2017-11-04,2017,11,04,23,629
4446,'2017-11-05,2017,11,05,00,606
4447,'2017-11-05,2017,11,05,01,439
4448,'2017-11-05,2017,11,05,02,351
4449,'2017-11-05,2017,11,05,03,203
4450,'2017-11-05,2017,11,05,04,136
4451,'2017-11-05,2017,11,05,05,96
4452,'2017-11-05,2017,11,05,06,86
4453,'2017-11-05,2017,11,05,07,192
4454,'2017-11-05,2017,11,05,08,418
4455,'2017-11-05,2017,11,05,09,448
4456,'2017-11-05,2017,11,05,10,610
4457,'2017-11-05,2017,11,05,11,739
4458,'2017-11-05,2017,11,05,12,991
4459,'2017-11-05,2017,11,05,13,1330
4460,'2017-11-05,2017,11,05,14,1625
4461,'2017-11-05,2017,11,05,15,1794
4462,'2017-11-05,2017,11,05,16,1860
4463,'2017-11-05,2017,11,05,17,1474
4464,'2017-11-05,2017,11,05,18,1200
4465,'2017-11-05,2017,11,05,19,1004
4466,'2017-11-05,2017,11,05,20,917
4467,'2017-11-05,2017,11,05,21,967
4468,'2017-11-05,2017,11,05,22,809
4469,'2017-11-05,2017,11,05,23,592
4470,'2017-11-06,2017,11,06,00,532
4471,'2017-11-06,2017,11,06,01,346
4472,'2017-11-06,2017,11,06,02,239
4473,'2017-11-06,2017,11,06,03,148
4474,'2017-11-06,2017,11,06,04,110
4475,'2017-11-06,2017,11,06,05,170
4476,'2017-11-06,2017,11,06,06,360
4477,'2017-11-06,2017,11,06,07,1130
4478,'2017-11-06,2017,11,06,08,2028
4479,'2017-11-06,2017,11,06,09,1011
4480,'2017-11-06,2017,11,06,10,708
4481,'2017-11-06,2017,11,06,11,852
4482,'2017-11-06,2017,11,06,12,1009
4483,'2017-11-06,2017,11,06,13,956
4484,'2017-11-06,2017,11,06,14,1018
4485,'2017-11-06,2017,11,06,15,1174
4486,'2017-11-06,2017,11,06,16,1315
4487,'2017-11-06,2017,11,06,17,1650
4488,'2017-11-06,2017,11,06,18,2829
4489,'2017-11-06,2017,11,06,19,1945
4490,'2017-11-06,2017,11,06,20,1580
4491,'2017-11-06,2017,11,06,21,1511
4492,'2017-11-06,2017,11,06,22,1327
4493,'2017-11-06,2017,11,06,23,897
4494,'2017-11-07,2017,11,07,00,611
4495,'2017-11-07,2017,11,07,01,435
4496,'2017-11-07,2017,11,07,02,302
4497,'2017-11-07,2017,11,07,03,200
4498,'2017-11-07,2017,11,07,04,137
4499,'2017-11-07,2017,11,07,05,171
4500,'2017-11-07,2017,11,07,06,426
4501,'2017-11-07,2017,11,07,07,1140
4502,'2017-11-07,2017,11,07,08,2205
4503,'2017-11-07,2017,11,07,09,1052
4504,'2017-11-07,2017,11,07,10,751
4505,'2017-11-07,2017,11,07,11,880
4506,'2017-11-07,2017,11,07,12,1076
4507,'2017-11-07,2017,11,07,13,1006
4508,'2017-11-07,2017,11,07,14,1103
4509,'2017-11-07,2017,11,07,15,1175
4510,'2017-11-07,2017,11,07,16,1389
4511,'2017-11-07,2017,11,07,17,1680
4512,'2017-11-07,2017,11,07,18,3069
4513,'2017-11-07,2017,11,07,19,2104
4514,'2017-11-07,2017,11,07,20,1746
4515,'2017-11-07,2017,11,07,21,1686
4516,'2017-11-07,2017,11,07,22,1495
4517,'2017-11-07,2017,11,07,23,1038
4518,'2017-11-08,2017,11,08,00,617
4519,'2017-11-08,2017,11,08,01,500
4520,'2017-11-08,2017,11,08,02,338
4521,'2017-11-08,2017,11,08,03,236
4522,'2017-11-08,2017,11,08,04,164
4523,'2017-11-08,2017,11,08,05,181
4524,'2017-11-08,2017,11,08,06,384
4525,'2017-11-08,2017,11,08,07,1069
4526,'2017-11-08,2017,11,08,08,2149
4527,'2017-11-08,2017,11,08,09,1096
4528,'2017-11-08,2017,11,08,10,719
4529,'2017-11-08,2017,11,08,11,840
4530,'2017-11-08,2017,11,08,12,1030
4531,'2017-11-08,2017,11,08,13,1038
4532,'2017-11-08,2017,11,08,14,985
4533,'2017-11-08,2017,11,08,15,1151
4534,'2017-11-08,2017,11,08,16,1284
4535,'2017-11-08,2017,11,08,17,1582
4536,'2017-11-08,2017,11,08,18,2558
4537,'2017-11-08,2017,11,08,19,1602
4538,'2017-11-08,2017,11,08,20,1177
4539,'2017-11-08,2017,11,08,21,1203
4540,'2017-11-08,2017,11,08,22,1033
4541,'2017-11-08,2017,11,08,23,717
4542,'2017-11-09,2017,11,09,00,606
4543,'2017-11-09,2017,11,09,01,454
4544,'2017-11-09,2017,11,09,02,348
4545,'2017-11-09,2017,11,09,03,185
4546,'2017-11-09,2017,11,09,04,132
4547,'2017-11-09,2017,11,09,05,156
4548,'2017-11-09,2017,11,09,06,354
4549,'2017-11-09,2017,11,09,07,1031
4550,'2017-11-09,2017,11,09,08,1986
4551,'2017-11-09,2017,11,09,09,973
4552,'2017-11-09,2017,11,09,10,712
4553,'2017-11-09,2017,11,09,11,843
4554,'2017-11-09,2017,11,09,12,1033
4555,'2017-11-09,2017,11,09,13,1021
4556,'2017-11-09,2017,11,09,14,1015
4557,'2017-11-09,2017,11,09,15,1117
4558,'2017-11-09,2017,11,09,16,1366
4559,'2017-11-09,2017,11,09,17,1610
4560,'2017-11-09,2017,11,09,18,2586
4561,'2017-11-09,2017,11,09,19,1668
4562,'2017-11-09,2017,11,09,20,1341
4563,'2017-11-09,2017,11,09,21,1405
4564,'2017-11-09,2017,11,09,22,1241
4565,'2017-11-09,2017,11,09,23,853
4566,'2017-11-10,2017,11,10,00,612
4567,'2017-11-10,2017,11,10,01,514
4568,'2017-11-10,2017,11,10,02,325
4569,'2017-11-10,2017,11,10,03,221
4570,'2017-11-10,2017,11,10,04,132
4571,'2017-11-10,2017,11,10,05,159
4572,'2017-11-10,2017,11,10,06,344
4573,'2017-11-10,2017,11,10,07,1005
4574,'2017-11-10,2017,11,10,08,2044
4575,'2017-11-10,2017,11,10,09,1031
4576,'2017-11-10,2017,11,10,10,749
4577,'2017-11-10,2017,11,10,11,881
4578,'2017-11-10,2017,11,10,12,894
4579,'2017-11-10,2017,11,10,13,778
4580,'2017-11-10,2017,11,10,14,468
4581,'2017-11-10,2017,11,10,15,25
4582,'2017-11-10,2017,11,10,16,94
4583,'2017-11-10,2017,11,10,17,534
4584,'2017-11-10,2017,11,10,18,1300
4585,'2017-11-10,2017,11,10,19,967
4586,'2017-11-10,2017,11,10,20,671
4587,'2017-11-10,2017,11,10,21,678
4588,'2017-11-10,2017,11,10,22,695
4589,'2017-11-10,2017,11,10,23,496
4590,'2017-11-11,2017,11,11,00,491
4591,'2017-11-11,2017,11,11,01,490
4592,'2017-11-11,2017,11,11,02,371
4593,'2017-11-11,2017,11,11,03,222
4594,'2017-11-11,2017,11,11,04,145
4595,'2017-11-11,2017,11,11,05,115
4596,'2017-11-11,2017,11,11,06,150
4597,'2017-11-11,2017,11,11,07,250
4598,'2017-11-11,2017,11,11,08,502
4599,'2017-11-11,2017,11,11,09,545
4600,'2017-11-11,2017,11,11,10,616
4601,'2017-11-11,2017,11,11,11,683
4602,'2017-11-11,2017,11,11,12,881
4603,'2017-11-11,2017,11,11,13,1072
4604,'2017-11-11,2017,11,11,14,1064
4605,'2017-11-11,2017,11,11,15,1157
4606,'2017-11-11,2017,11,11,16,1299
4607,'2017-11-11,2017,11,11,17,1150
4608,'2017-11-11,2017,11,11,18,879
4609,'2017-11-11,2017,11,11,19,802
4610,'2017-11-11,2017,11,11,20,691
4611,'2017-11-11,2017,11,11,21,662
4612,'2017-11-11,2017,11,11,22,651
4613,'2017-11-11,2017,11,11,23,561
4614,'2017-11-12,2017,11,12,00,540
4615,'2017-11-12,2017,11,12,01,462
4616,'2017-11-12,2017,11,12,02,284
4617,'2017-11-12,2017,11,12,03,203
4618,'2017-11-12,2017,11,12,04,125
4619,'2017-11-12,2017,11,12,05,70
4620,'2017-11-12,2017,11,12,06,90
4621,'2017-11-12,2017,11,12,07,147
4622,'2017-11-12,2017,11,12,08,325
4623,'2017-11-12,2017,11,12,09,430
4624,'2017-11-12,2017,11,12,10,543
4625,'2017-11-12,2017,11,12,11,630
4626,'2017-11-12,2017,11,12,12,835
4627,'2017-11-12,2017,11,12,13,1049
4628,'2017-11-12,2017,11,12,14,1260
4629,'2017-11-12,2017,11,12,15,1281
4630,'2017-11-12,2017,11,12,16,1261
4631,'2017-11-12,2017,11,12,17,1180
4632,'2017-11-12,2017,11,12,18,907
4633,'2017-11-12,2017,11,12,19,733
4634,'2017-11-12,2017,11,12,20,737
4635,'2017-11-12,2017,11,12,21,677
4636,'2017-11-12,2017,11,12,22,592
4637,'2017-11-12,2017,11,12,23,460
4638,'2017-11-13,2017,11,13,00,423
4639,'2017-11-13,2017,11,13,01,244
4640,'2017-11-13,2017,11,13,02,160
4641,'2017-11-13,2017,11,13,03,88
4642,'2017-11-13,2017,11,13,04,77
4643,'2017-11-13,2017,11,13,05,141
4644,'2017-11-13,2017,11,13,06,317
4645,'2017-11-13,2017,11,13,07,950
4646,'2017-11-13,2017,11,13,08,1152
4647,'2017-11-13,2017,11,13,09,692
4648,'2017-11-13,2017,11,13,10,556
4649,'2017-11-13,2017,11,13,11,623
4650,'2017-11-13,2017,11,13,12,774
4651,'2017-11-13,2017,11,13,13,771
4652,'2017-11-13,2017,11,13,14,787
4653,'2017-11-13,2017,11,13,15,827
4654,'2017-11-13,2017,11,13,16,927
4655,'2017-11-13,2017,11,13,17,1198
4656,'2017-11-13,2017,11,13,18,2182
4657,'2017-11-13,2017,11,13,19,1289
4658,'2017-11-13,2017,11,13,20,1082
4659,'2017-11-13,2017,11,13,21,454
4660,'2017-11-13,2017,11,13,22,247
4661,'2017-11-13,2017,11,13,23,328
4662,'2017-11-14,2017,11,14,00,341
4663,'2017-11-14,2017,11,14,01,295
4664,'2017-11-14,2017,11,14,02,246
4665,'2017-11-14,2017,11,14,03,148
4666,'2017-11-14,2017,11,14,04,114
4667,'2017-11-14,2017,11,14,05,154
4668,'2017-11-14,2017,11,14,06,337
4669,'2017-11-14,2017,11,14,07,950
4670,'2017-11-14,2017,11,14,08,1945
4671,'2017-11-14,2017,11,14,09,876
4672,'2017-11-14,2017,11,14,10,612
4673,'2017-11-14,2017,11,14,11,719
4674,'2017-11-14,2017,11,14,12,872
4675,'2017-11-14,2017,11,14,13,825
4676,'2017-11-14,2017,11,14,14,784
4677,'2017-11-14,2017,11,14,15,833
4678,'2017-11-14,2017,11,14,16,934
4679,'2017-11-14,2017,11,14,17,1160
4680,'2017-11-14,2017,11,14,18,2092
4681,'2017-11-14,2017,11,14,19,1342
4682,'2017-11-14,2017,11,14,20,948
4683,'2017-11-14,2017,11,14,21,897
4684,'2017-11-14,2017,11,14,22,904
4685,'2017-11-14,2017,11,14,23,597
4686,'2017-11-15,2017,11,15,00,471
4687,'2017-11-15,2017,11,15,01,376
4688,'2017-11-15,2017,11,15,02,234
4689,'2017-11-15,2017,11,15,03,152
4690,'2017-11-15,2017,11,15,04,106
4691,'2017-11-15,2017,11,15,05,132
4692,'2017-11-15,2017,11,15,06,282
4693,'2017-11-15,2017,11,15,07,962
4694,'2017-11-15,2017,11,15,08,1820
4695,'2017-11-15,2017,11,15,09,822
4696,'2017-11-15,2017,11,15,10,568
4697,'2017-11-15,2017,11,15,11,665
4698,'2017-11-15,2017,11,15,12,715
4699,'2017-11-15,2017,11,15,13,626
4700,'2017-11-15,2017,11,15,14,646
4701,'2017-11-15,2017,11,15,15,625
4702,'2017-11-15,2017,11,15,16,716
4703,'2017-11-15,2017,11,15,17,984
